Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,AI_Recommendation
Aluminum Foil,34.1,2.5,0,10.39,96.4,10,Avoid
Mushroom Mycelium,11.4,3.4,100,0.26,100,6,Highly Recommended
Aluminum Foil,42.2,8.8,0,9.15,94.6,10,Avoid
Bioplastic (PLA),70.2,5.4,89.4,1.73,56.2,9,Highly Recommended
Aluminum Foil,34,5.4,0,10.05,92.9,10,Avoid
Edible Seaweed Film,11.1,5.4,100,0.38,1.3,3,Consider as Option
Bamboo Fiber,43.5,1.1,96.4,1.14,33.2,7,Highly Recommended
Virgin Plastic (PP),85,5.6,3.7,5.08,18.1,10,Avoid
Bagasse (Sugarcane),29.3,0.6,98.8,0.97,68,6,Highly Recommended
Edible Seaweed Film,7.5,3.8,100,0.45,7.5,2,Consider as Option
Recycled Cardboard,30,8.6,96.3,1.44,82.6,4,Highly Recommended
Bioplastic (PLA),74.3,4.1,81.6,1.96,54.2,9,Highly Recommended
Edible Seaweed Film,14.7,1,100,0.56,0.4,3,Consider as Option
Bamboo Fiber,59,1.4,95.3,0.77,33.8,6,Highly Recommended
Edible Seaweed Film,12.8,9.3,100,0.39,2.4,3,Consider as Option
Bamboo Fiber,54.2,9.6,98.1,0.68,40.1,8,Highly Recommended
Bioplastic (PLA),61.2,9.1,86,2.39,40.2,9,Consider as Option
Edible Seaweed Film,13.5,8.9,100,0.44,8.1,2,Consider as Option
Mushroom Mycelium,13.9,7.8,100,0.36,100,5,Highly Recommended
Bamboo Fiber,50.5,0.5,99,1.08,38.7,6,Highly Recommended
Recycled Cardboard,19.7,2.6,93.8,1.31,88.9,4,Highly Recommended
Mushroom Mycelium,12.7,7.3,100,0.14,100,6,Highly Recommended
Aluminum Foil,24.3,2.3,0,10.39,90.7,10,Avoid
Bagasse (Sugarcane),36.9,6.1,95.5,1.1,57.6,5,Highly Recommended
Bagasse (Sugarcane),24,6.8,95.6,1.24,53.9,5,Highly Recommended
Aluminum Foil,37.4,0.5,0,10.05,96.5,10,Avoid
Bamboo Fiber,52,4.2,98.8,0.57,49.4,7,Highly Recommended
Virgin Plastic (PP),73.6,8.1,0.3,5.89,10.7,10,Avoid
Bioplastic (PLA),57.9,4.5,86.8,2.45,46.5,8,Consider as Option
Bamboo Fiber,42.5,9.4,98.2,1.06,34.6,6,Highly Recommended
Recycled Cardboard,29.4,2.7,95.6,1.41,94.2,5,Highly Recommended
Edible Seaweed Film,10.7,7.2,100,0.22,9.1,2,Consider as Option
Mushroom Mycelium,24,7.2,100,0.16,100,6,Highly Recommended
Aluminum Foil,36.7,5.4,0,9.57,93.5,10,Avoid
Mushroom Mycelium,23.8,6.6,100,0.14,100,6,Highly Recommended
Bioplastic (PLA),56.1,8.6,82.6,1.74,48.2,9,Highly Recommended
Bioplastic (PLA),65.5,1.2,83.1,2.24,41.6,8,Consider as Option
Recycled Cardboard,29.5,4.4,92,1.43,83.3,5,Highly Recommended
Bioplastic (PLA),51.5,6.6,87.6,1.62,55.6,8,Highly Recommended
Mushroom Mycelium,15.3,1.8,100,0.38,100,4,Highly Recommended
Aluminum Foil,28.5,9.7,0,9.15,92.4,10,Avoid
Virgin Plastic (PP),74.8,2.9,1.3,5.91,17.2,10,Avoid
Bamboo Fiber,42,1.3,95.1,0.6,48.7,6,Highly Recommended
Bagasse (Sugarcane),21.7,8.5,97.3,1.2,57.6,5,Highly Recommended
Aluminum Foil,30,2.1,0,10.78,94.1,10,Avoid
Bagasse (Sugarcane),38.2,3.3,95.2,1.03,57.9,6,Highly Recommended
Mushroom Mycelium,23.5,8.7,100,0.17,100,5,Highly Recommended
Virgin Plastic (PP),63.2,5.6,2.1,3.94,19,10,Avoid
Aluminum Foil,37,3.4,0,9.68,91.7,10,Avoid
Bagasse (Sugarcane),30.9,5.3,97.2,1.15,52.9,7,Highly Recommended
Aluminum Foil,41.5,2.6,0,9.05,94,10,Avoid
Virgin Plastic (PP),73.3,3.3,4.4,5.24,20.5,10,Avoid
Bagasse (Sugarcane),24.6,6.3,99.2,1.3,67.5,6,Highly Recommended
Mushroom Mycelium,10.5,7.9,100,0.31,100,6,Highly Recommended
Aluminum Foil,29.5,3.1,0,11.09,93.9,10,Avoid
Recycled Cardboard,33.6,1.6,96.8,1.04,89.8,5,Highly Recommended
Bioplastic (PLA),60.1,8.7,80.7,2.38,43.2,9,Consider as Option
Edible Seaweed Film,13.1,6.6,100,0.38,6.9,2,Consider as Option
Virgin Plastic (PP),68.8,7.4,0.9,5.01,24.5,10,Avoid
Bamboo Fiber,56.4,6.1,99.4,1.19,31.6,7,Highly Recommended
Bamboo Fiber,58.9,6.1,99,1.03,38.3,7,Highly Recommended
Recycled Cardboard,16.3,1.2,98.9,1.37,94.9,4,Highly Recommended
Edible Seaweed Film,14.1,1.6,100,0.51,6.3,4,Consider as Option
Recycled Cardboard,19.4,5.5,97.9,1.05,94.6,4,Highly Recommended
Bagasse (Sugarcane),34.8,3.5,96.9,1.12,65.7,7,Highly Recommended
Aluminum Foil,34.2,6.7,0,11.57,90.7,10,Avoid
Mushroom Mycelium,20.9,3.5,100,0.32,100,6,Highly Recommended
Mushroom Mycelium,11.3,5.4,100,0.27,100,5,Highly Recommended
Bamboo Fiber,56.6,8.2,97.1,0.51,32.3,7,Highly Recommended
Mushroom Mycelium,11.1,2.3,100,0.18,100,4,Highly Recommended
Bagasse (Sugarcane),30.1,7.1,95.6,1.2,54,7,Highly Recommended
Recycled Cardboard,16.1,2.6,98.4,1.45,83.3,4,Highly Recommended
Bamboo Fiber,42.9,7.2,95.7,1.06,36.5,8,Highly Recommended
Virgin Plastic (PP),71.8,3,0.9,4.7,23.8,10,Avoid
Aluminum Foil,37.6,5,0,8.77,90.4,10,Avoid
Bamboo Fiber,55.7,1.3,98.1,1.14,42.5,6,Highly Recommended
Bioplastic (PLA),57.7,6.8,84.1,1.83,54.5,8,Highly Recommended
Bagasse (Sugarcane),27.1,8.9,98.4,1.24,64,7,Highly Recommended
Recycled Cardboard,33.5,6.8,98.6,0.96,98.6,5,Highly Recommended
Mushroom Mycelium,19.7,4.1,100,0.19,100,5,Highly Recommended
Bamboo Fiber,45.2,5.2,99.8,1,45.8,7,Highly Recommended
Recycled Cardboard,16.3,0.8,94.7,1.16,98.5,5,Highly Recommended
Edible Seaweed Film,13.2,5,100,0.22,4.5,3,Consider as Option
Bagasse (Sugarcane),29.6,4.2,98,1.08,50.4,7,Highly Recommended
Bamboo Fiber,43.7,4.2,95.9,0.55,33.7,6,Highly Recommended
Edible Seaweed Film,7.3,7,100,0.27,7.3,4,Consider as Option
Bioplastic (PLA),59.4,8.4,91.3,2.01,53.7,9,Highly Recommended
Bagasse (Sugarcane),39.3,5.7,97.4,1.26,56.1,6,Highly Recommended
Bioplastic (PLA),70.2,8.3,86.2,1.67,44.7,8,Highly Recommended
Bamboo Fiber,57.2,1.8,96.5,0.66,31.3,7,Highly Recommended
Recycled Cardboard,25.7,4.4,94.9,0.85,84.2,4,Highly Recommended
Mushroom Mycelium,14.4,5.2,100,0.24,100,5,Highly Recommended
Aluminum Foil,26.5,6.6,0,9.75,96.2,10,Avoid
Aluminum Foil,32.4,9.1,0,10.19,99.9,10,Avoid
Aluminum Foil,30.3,4.7,0,11.66,95.2,10,Avoid
Mushroom Mycelium,11,7.4,100,0.39,100,5,Highly Recommended
Bamboo Fiber,54.7,2.1,97.6,0.68,40.1,8,Highly Recommended
Mushroom Mycelium,12.1,6.2,100,0.35,100,4,Highly Recommended
Aluminum Foil,39.4,8.7,0,10.66,93.6,10,Avoid
Bioplastic (PLA),62.7,8.8,82.2,2.48,52.3,8,Consider as Option
Virgin Plastic (PP),66.4,8.5,2.8,3.89,28.6,10,Avoid
Bagasse (Sugarcane),25.3,6.7,98.7,1.15,54.1,6,Highly Recommended
Edible Seaweed Film,11.9,0.7,100,0.53,9.8,4,Consider as Option
Bamboo Fiber,42,4.6,97.3,0.75,30.5,7,Highly Recommended
Virgin Plastic (PP),70.1,6.5,4.7,5.27,23.5,10,Avoid
Bagasse (Sugarcane),31.4,7.3,96.9,1.01,62.1,7,Highly Recommended
Aluminum Foil,42.7,7.5,0,11.25,96.8,10,Avoid
Bagasse (Sugarcane),38.6,9.1,95.8,1.2,52.7,7,Highly Recommended
Bamboo Fiber,47.2,9.7,96.3,0.69,44.5,8,Highly Recommended
Virgin Plastic (PP),67.7,1.3,4.8,5.4,13.3,10,Avoid
Bamboo Fiber,51.7,1.7,95.1,0.91,42.6,8,Highly Recommended
Bagasse (Sugarcane),38.6,7.6,97.3,1.24,65.4,5,Highly Recommended
Bamboo Fiber,55.5,6.5,96.3,0.71,32.7,7,Highly Recommended
Bagasse (Sugarcane),30.9,9.5,98.9,0.94,59.9,7,Highly Recommended
Bagasse (Sugarcane),22.8,4.5,98,1.23,68.1,5,Highly Recommended
Aluminum Foil,29.8,8.2,0,10.44,93.1,10,Avoid
Aluminum Foil,32.3,8.9,0,10.53,93,10,Avoid
Recycled Cardboard,32.6,5.1,91.2,1.45,88.5,5,Highly Recommended
Bioplastic (PLA),60.3,1.6,85.4,2.06,57.3,9,Highly Recommended
Bamboo Fiber,46.8,9.8,99.3,0.5,35.2,7,Highly Recommended
Aluminum Foil,42,4.3,0,8.89,97.5,10,Avoid
Mushroom Mycelium,16.7,2.9,100,0.26,100,6,Highly Recommended
Mushroom Mycelium,13.3,7,100,0.17,100,5,Highly Recommended
Bioplastic (PLA),51.8,0.7,94.2,2.43,44.9,8,Highly Recommended
Bagasse (Sugarcane),37.6,1.3,98.8,0.94,64.6,7,Highly Recommended
Bamboo Fiber,45.5,7.6,96.7,0.9,38.8,7,Highly Recommended
Aluminum Foil,38.1,1.7,0,9.97,96.6,10,Avoid
Virgin Plastic (PP),61.7,6.1,3.6,4.87,26.4,10,Avoid
Bioplastic (PLA),72.7,8.9,88.9,2.05,51.8,9,Highly Recommended
Virgin Plastic (PP),70.6,2.1,3.1,3.71,17.7,10,Avoid
Bioplastic (PLA),53.6,2.8,80.6,1.55,43.3,9,Highly Recommended
Recycled Cardboard,30.6,2.7,97.1,0.86,94.8,4,Highly Recommended
Virgin Plastic (PP),85,4.2,4.2,4.53,21.1,10,Avoid
Bioplastic (PLA),54.5,9.8,88.3,2.04,43.6,8,Consider as Option
Virgin Plastic (PP),70.8,9.9,1.8,4.03,24.1,10,Avoid
Virgin Plastic (PP),61.8,1.8,3.8,4.03,17.1,10,Avoid
Bamboo Fiber,53.7,2.9,96.3,1.17,35.6,7,Highly Recommended
Bamboo Fiber,42.3,9.5,99,0.66,38.3,8,Highly Recommended
Virgin Plastic (PP),80.6,1.6,2.8,4.41,11.7,10,Avoid
Bioplastic (PLA),67.6,9.8,81.9,1.83,41.7,9,Consider as Option
Bagasse (Sugarcane),36.5,5.9,95.1,0.98,50.6,5,Highly Recommended
Virgin Plastic (PP),74.1,5.9,2,3.58,15.5,10,Avoid
Bamboo Fiber,56.3,1,95.9,0.84,34.5,7,Highly Recommended
Bamboo Fiber,60,4,95.8,0.6,48.9,6,Highly Recommended
Bamboo Fiber,51.7,6.5,96.1,0.89,32.7,6,Highly Recommended
Mushroom Mycelium,12.5,6.6,100,0.37,100,4,Highly Recommended
Aluminum Foil,29,8.9,0,8.26,94,10,Avoid
Edible Seaweed Film,10.9,4.7,100,0.59,3.6,2,Consider as Option
Bamboo Fiber,50.5,1.6,99.5,1.18,37.4,8,Highly Recommended
Bioplastic (PLA),56.8,2.1,84.2,2.2,49.7,9,Highly Recommended
Bagasse (Sugarcane),21.7,8.5,95.9,1.21,58.7,5,Highly Recommended
Bioplastic (PLA),65.1,1.9,91.5,2.46,49.8,8,Highly Recommended
Mushroom Mycelium,11.2,4.8,100,0.17,100,5,Highly Recommended
Bamboo Fiber,45,2.8,96.7,0.54,43.6,8,Highly Recommended
Bamboo Fiber,43.4,6.1,97.1,1.08,47.6,6,Highly Recommended
Mushroom Mycelium,24,1.5,100,0.36,100,5,Highly Recommended
Mushroom Mycelium,19,3.7,100,0.22,100,6,Highly Recommended
Aluminum Foil,32.6,1.8,0,8.52,94.9,10,Avoid
Bioplastic (PLA),57.9,9.8,80.6,1.78,58.4,8,Highly Recommended
Bamboo Fiber,58.1,9.6,95.1,0.61,42.1,8,Highly Recommended
Bamboo Fiber,45.4,9.8,95.2,0.67,47.4,7,Highly Recommended
Bioplastic (PLA),58.9,6.3,92.8,2.02,53.9,9,Highly Recommended
Bamboo Fiber,55,7.4,99.2,0.68,41.7,7,Highly Recommended
Mushroom Mycelium,14.7,0.6,100,0.14,100,4,Highly Recommended
Bagasse (Sugarcane),36.6,1.3,95.8,1.07,62.7,5,Highly Recommended
Bagasse (Sugarcane),24.8,4.5,98.3,1.38,54.2,5,Highly Recommended
Bamboo Fiber,55.6,6.6,95,0.93,46.9,7,Highly Recommended
Edible Seaweed Film,10,6.9,100,0.48,1.2,3,Consider as Option
Edible Seaweed Film,8.3,7.7,100,0.35,8,4,Consider as Option
Bioplastic (PLA),71.3,1.2,82.1,2.42,43.6,9,Consider as Option
Edible Seaweed Film,5.4,2.9,100,0.45,0,4,Consider as Option
Aluminum Foil,39.3,0.5,0,8.3,98.4,10,Avoid
Recycled Cardboard,22,8.4,95.2,0.87,98.2,5,Highly Recommended
Bamboo Fiber,45.3,5.4,98.4,0.61,44.7,7,Highly Recommended
Virgin Plastic (PP),86.7,2.7,0.3,4.51,13.4,10,Avoid
Recycled Cardboard,26.5,0.9,92.3,1.03,89.6,4,Highly Recommended
Recycled Cardboard,29.3,5.5,92.3,0.92,82.5,5,Highly Recommended
Mushroom Mycelium,13.3,7.1,100,0.11,100,4,Highly Recommended
Aluminum Foil,42.9,6.7,0,10.15,90.1,10,Avoid
Virgin Plastic (PP),67.3,4.4,0.4,3.71,20.1,10,Avoid
Mushroom Mycelium,17.4,8.6,100,0.32,100,6,Highly Recommended
Recycled Cardboard,24.1,4.9,95.4,1.49,86.6,4,Highly Recommended
Edible Seaweed Film,5.8,2.6,100,0.33,4.3,4,Consider as Option
Edible Seaweed Film,6.1,10,100,0.48,3.6,4,Consider as Option
Bagasse (Sugarcane),22.3,4.1,97.4,1.27,50,6,Highly Recommended
Virgin Plastic (PP),66.9,9.4,2.2,5.85,10.8,10,Avoid
Virgin Plastic (PP),62.2,1.2,4.9,5.26,19.6,10,Avoid
Bioplastic (PLA),59.2,8.3,80.3,2.38,53.6,9,Consider as Option
Virgin Plastic (PP),60.8,3.7,2.5,5.68,21.3,10,Avoid
Edible Seaweed Film,12.2,2.9,100,0.34,2.7,4,Consider as Option
Bioplastic (PLA),51.3,0.9,92.4,2.12,46.8,9,Highly Recommended
Aluminum Foil,39.3,4.8,0,11.8,99.3,10,Avoid
Edible Seaweed Film,14.1,9.9,100,0.28,2.5,2,Consider as Option
Virgin Plastic (PP),88.3,6,1,4,24.3,10,Avoid
Aluminum Foil,37.6,0.7,0,10.53,91.9,10,Avoid
Virgin Plastic (PP),84.1,7.8,4,5.43,12.3,10,Avoid
Bamboo Fiber,55.3,9.9,97,0.88,49.1,8,Highly Recommended
Edible Seaweed Film,6.3,10,100,0.46,3.1,3,Consider as Option
Virgin Plastic (PP),78.1,8.7,2,3.8,13.8,10,Avoid
Mushroom Mycelium,17.6,4.4,100,0.34,100,5,Highly Recommended
Bagasse (Sugarcane),39.7,4.3,95.2,1.11,69,6,Highly Recommended
Aluminum Foil,31.1,2.2,0,11.48,91.5,10,Avoid
Bioplastic (PLA),68.4,9.9,91.9,1.64,51.5,8,Highly Recommended
Bioplastic (PLA),50.5,8.7,81.4,2.17,40,8,Consider as Option
Mushroom Mycelium,16.2,4.1,100,0.37,100,6,Highly Recommended
Recycled Cardboard,33.2,5.2,92.5,0.84,98.5,3,Highly Recommended
Bamboo Fiber,59.4,9.1,97.5,0.81,44,7,Highly Recommended
Bagasse (Sugarcane),35.5,6.5,98.2,1,53.4,6,Highly Recommended
Mushroom Mycelium,24.7,4.5,100,0.19,100,4,Highly Recommended
Aluminum Foil,20.7,8.1,0,8.81,95,10,Avoid
Edible Seaweed Film,11.4,4.3,100,0.34,6.6,2,Consider as Option
Bagasse (Sugarcane),31.2,7.9,99,1.05,52.9,7,Highly Recommended
Bioplastic (PLA),70.1,1.3,90.1,2.29,54.6,8,Highly Recommended
Aluminum Foil,44.4,2.5,0,8.96,90.1,10,Avoid
Aluminum Foil,44.1,3.4,0,10.26,91.1,10,Avoid
Virgin Plastic (PP),82.2,2.3,1,4.56,20.2,10,Avoid
Virgin Plastic (PP),61,5.9,0.7,5.01,28.8,10,Avoid
Bamboo Fiber,54.1,2.1,97.8,0.61,32.6,8,Highly Recommended
Bamboo Fiber,50.4,7,96.4,1.17,32.9,8,Highly Recommended
Recycled Cardboard,28,2.9,91.7,0.81,99.1,3,Highly Recommended
Recycled Cardboard,20,1.2,97.1,1.29,98.8,5,Highly Recommended
Bagasse (Sugarcane),21.2,8.8,98.6,1.16,66.4,6,Highly Recommended
Recycled Cardboard,21.8,1.5,93.5,0.88,90.5,3,Highly Recommended
Bamboo Fiber,49.3,8.4,97.3,1.04,45.9,8,Highly Recommended
Edible Seaweed Film,14.2,4.1,100,0.35,0.3,3,Consider as Option
Aluminum Foil,42.6,4.5,0,8.66,99.6,10,Avoid
Edible Seaweed Film,12.4,7.9,100,0.32,1.9,4,Consider as Option
Edible Seaweed Film,9.3,5.3,100,0.41,3.2,3,Consider as Option
Bioplastic (PLA),71,4.9,90.5,1.96,42.1,9,Highly Recommended
Bamboo Fiber,57.4,9.1,99.7,0.94,44.9,8,Highly Recommended
Bagasse (Sugarcane),39,2.6,96,0.92,58.6,7,Highly Recommended
Virgin Plastic (PP),68.3,9.3,3,5.44,29.2,10,Avoid
Recycled Cardboard,23.1,9.5,94.4,1.2,94.4,3,Highly Recommended
Recycled Cardboard,30.4,7.5,95.6,1.08,86.1,4,Highly Recommended
Aluminum Foil,43.5,1.4,0,11.95,96.5,10,Avoid
Edible Seaweed Film,12.4,3.7,100,0.4,8.6,4,Consider as Option
Edible Seaweed Film,6.7,8.7,100,0.29,9.7,4,Consider as Option
Mushroom Mycelium,19.9,2.2,100,0.14,100,5,Highly Recommended
Recycled Cardboard,26.5,1.8,96.7,1.38,84.4,3,Highly Recommended
Edible Seaweed Film,5.3,8.2,100,0.33,3.9,2,Consider as Option
Edible Seaweed Film,12.9,3.1,100,0.36,2.2,2,Consider as Option
Virgin Plastic (PP),64,6.3,0.6,4.49,18.6,10,Avoid
Bagasse (Sugarcane),38.9,6.8,96.2,1.17,52.6,6,Highly Recommended
Mushroom Mycelium,15.1,2.9,100,0.34,100,4,Highly Recommended
Virgin Plastic (PP),66.8,6.9,0.9,3.82,19.3,10,Avoid
Bioplastic (PLA),55.8,3.9,91.3,1.53,49.9,8,Highly Recommended
Bamboo Fiber,42.9,1.9,98.7,0.89,36.6,7,Highly Recommended
Edible Seaweed Film,11.1,3.2,100,0.57,7.9,4,Consider as Option
Recycled Cardboard,30.5,8,100,1.15,99.1,5,Highly Recommended
Bioplastic (PLA),58.2,9.8,94.7,1.64,58.7,9,Highly Recommended
Aluminum Foil,27.2,5.6,0,9.42,98.2,10,Avoid
Mushroom Mycelium,15.1,3.4,100,0.28,100,5,Highly Recommended
Edible Seaweed Film,8.5,7.1,100,0.58,3.8,3,Consider as Option
Aluminum Foil,40.8,0.9,0,11.41,91.2,10,Avoid
Bioplastic (PLA),61.9,3.2,88.5,2.39,46.2,8,Consider as Option
Edible Seaweed Film,5.4,9.1,100,0.55,0.9,4,Consider as Option
Mushroom Mycelium,18.8,0.7,100,0.23,100,4,Highly Recommended
Mushroom Mycelium,15.3,7.2,100,0.27,100,5,Highly Recommended
Virgin Plastic (PP),70.5,5.3,1.1,5.82,16.3,10,Avoid
Virgin Plastic (PP),76.7,7.2,2,4.39,14.6,10,Avoid
Aluminum Foil,26.5,1.1,0,10.88,93.5,10,Avoid
Aluminum Foil,27.8,3,0,8.99,98.6,10,Avoid
Mushroom Mycelium,13.4,8,100,0.14,100,5,Highly Recommended
Virgin Plastic (PP),64.9,0.7,3.4,4.88,23.7,10,Avoid
Mushroom Mycelium,12.4,8.9,100,0.31,100,5,Highly Recommended
Bamboo Fiber,42,6,99.3,0.62,36.1,8,Highly Recommended
Virgin Plastic (PP),90,7.9,1.6,3.75,24.3,10,Avoid
Recycled Cardboard,19,2.8,93.9,0.99,83.6,4,Highly Recommended
Edible Seaweed Film,10.1,8.6,100,0.24,2.1,3,Consider as Option
Bioplastic (PLA),57.3,4.1,93.4,2.33,51.5,8,Highly Recommended
Bioplastic (PLA),74.8,1.9,87.7,2.42,48,9,Highly Recommended
Aluminum Foil,42.5,0.5,0,9.91,91.7,10,Avoid
Edible Seaweed Film,11.9,2.1,100,0.21,3.4,4,Consider as Option
Recycled Cardboard,23.1,7.2,94.1,1.43,88.9,4,Highly Recommended
Mushroom Mycelium,14.1,8.4,100,0.32,100,5,Highly Recommended
Aluminum Foil,29.6,7.4,0,8.72,93,10,Avoid
Bioplastic (PLA),70.1,6.7,90.2,1.66,59.6,8,Highly Recommended
Bioplastic (PLA),63.1,5.7,87.5,1.84,53.4,8,Highly Recommended
Recycled Cardboard,15.3,3.5,96.3,0.89,99.1,3,Highly Recommended
Virgin Plastic (PP),80.4,1.4,3.1,4.41,20.5,10,Avoid
Bagasse (Sugarcane),37.6,2.5,99,1.3,54.3,6,Highly Recommended
Recycled Cardboard,34,0.8,93.8,1.16,84.1,3,Highly Recommended
Bioplastic (PLA),68.8,3.2,88.2,1.97,40.4,8,Consider as Option
Bamboo Fiber,43.3,9.8,96.9,1.08,38.8,6,Highly Recommended
Virgin Plastic (PP),71.2,4.2,2.1,4.56,27.1,10,Avoid
Virgin Plastic (PP),73.8,2.3,4.2,3.57,29.4,10,Avoid
Bioplastic (PLA),51.5,6.5,91.6,2,40.4,8,Highly Recommended
Mushroom Mycelium,21.1,3.6,100,0.16,100,5,Highly Recommended
Bioplastic (PLA),74.2,7.4,95,2.25,46.2,9,Highly Recommended
Edible Seaweed Film,10.1,9.3,100,0.58,0.1,3,Consider as Option
Recycled Cardboard,26.6,3,94.6,1.36,98,3,Highly Recommended
Bioplastic (PLA),55,9,90.9,1.94,51.9,8,Highly Recommended
Recycled Cardboard,33.1,3.8,93,1.46,89.9,4,Highly Recommended
Aluminum Foil,26.9,7.5,0,11.54,99.5,10,Avoid
Recycled Cardboard,15.9,7.9,99.8,1.15,90.1,3,Highly Recommended
Bioplastic (PLA),60.6,0.5,82.7,2.5,53.5,9,Consider as Option
Bioplastic (PLA),67.6,4.9,80.1,1.53,50,9,Highly Recommended
Mushroom Mycelium,24.6,7.7,100,0.28,100,5,Highly Recommended
Virgin Plastic (PP),76.1,3.2,2.7,5.08,25.5,10,Avoid
Aluminum Foil,27.9,2.6,0,10.62,96.3,10,Avoid
Bioplastic (PLA),50.7,9.3,94.1,1.89,52.1,8,Highly Recommended
Virgin Plastic (PP),71.1,5,1.5,5.4,15.3,10,Avoid
Bamboo Fiber,54.1,7.6,98.3,0.81,41.1,6,Highly Recommended
Mushroom Mycelium,18.7,5.3,100,0.16,100,4,Highly Recommended
Bioplastic (PLA),64.6,4.5,88.9,2.16,41.7,9,Highly Recommended
Recycled Cardboard,31.7,1.8,94.9,0.86,98,5,Highly Recommended
Mushroom Mycelium,13.2,1.5,100,0.11,100,6,Highly Recommended
Mushroom Mycelium,12.1,9.7,100,0.14,100,4,Highly Recommended
Bioplastic (PLA),62.4,5.3,82.9,2.05,57,9,Highly Recommended
Virgin Plastic (PP),76.9,4.4,0.8,3.65,26.1,10,Avoid
Recycled Cardboard,18.3,4.1,92.8,1.2,97.6,5,Highly Recommended
Bamboo Fiber,56.7,8.4,97.3,0.82,46.7,6,Highly Recommended
Virgin Plastic (PP),87,9.6,0.2,5.36,13.7,10,Avoid
Edible Seaweed Film,14.7,0.8,100,0.57,2.4,2,Consider as Option
Virgin Plastic (PP),65.9,5.5,0.6,3.71,23.2,10,Avoid
Bagasse (Sugarcane),38.6,0.9,96.5,0.98,69.5,7,Highly Recommended
Bamboo Fiber,59.6,8.4,95.9,0.69,43.5,6,Highly Recommended
Virgin Plastic (PP),65.4,5.7,1.9,4.62,24,10,Avoid
Mushroom Mycelium,23.7,8.2,100,0.14,100,4,Highly Recommended
Recycled Cardboard,25.9,4.8,96.8,1.2,88.6,4,Highly Recommended
Bagasse (Sugarcane),24.6,6.1,97.9,1.24,58.3,6,Highly Recommended
Mushroom Mycelium,11.5,6.7,100,0.16,100,6,Highly Recommended
Virgin Plastic (PP),83.7,6.4,3.5,5.05,22.7,10,Avoid
Bagasse (Sugarcane),24.1,1.9,99.5,1.27,65.9,5,Highly Recommended
Mushroom Mycelium,21.1,2.7,100,0.1,100,4,Highly Recommended
Bamboo Fiber,53.8,5.5,99.5,0.96,34.1,7,Highly Recommended
Bioplastic (PLA),53.4,0.5,84.9,1.58,45.6,8,Highly Recommended
Edible Seaweed Film,5.8,7.1,100,0.2,5.7,2,Consider as Option
Bioplastic (PLA),62.3,3.4,83.6,1.63,56.3,9,Highly Recommended
Bagasse (Sugarcane),29.5,2.3,95.3,1.12,61,5,Highly Recommended
Bamboo Fiber,42.9,1.2,96.8,0.82,34.5,6,Highly Recommended
Virgin Plastic (PP),69.6,4.7,4.3,5.28,14.3,10,Avoid
Virgin Plastic (PP),66.2,0.7,3.3,5.21,12.1,10,Avoid
Aluminum Foil,37.1,3.6,0,8.48,97.5,10,Avoid
Virgin Plastic (PP),68.9,5.1,3.1,4.55,21.9,10,Avoid
Bamboo Fiber,52.7,3.5,97.4,0.93,45.1,8,Highly Recommended
Recycled Cardboard,31.5,7.4,94.1,1.05,87.7,5,Highly Recommended
Edible Seaweed Film,10.7,2,100,0.42,6,4,Consider as Option
Aluminum Foil,20.2,0.8,0,9.42,99.3,10,Avoid
Aluminum Foil,44.9,9.9,0,9.97,95.8,10,Avoid
Bamboo Fiber,56.7,3.6,96.9,0.82,35.8,7,Highly Recommended
Bamboo Fiber,57.9,6.2,100,0.81,32.4,7,Highly Recommended
Aluminum Foil,21.4,9.5,0,8.28,96.5,10,Avoid
Bioplastic (PLA),63.9,9,84.3,1.7,45.4,8,Highly Recommended
Edible Seaweed Film,8.8,9.6,100,0.5,1.1,2,Consider as Option
Mushroom Mycelium,10.2,9.8,100,0.11,100,4,Highly Recommended
Edible Seaweed Film,10.5,9.1,100,0.2,2.7,2,Consider as Option
Edible Seaweed Film,12.3,6.1,100,0.49,0.6,3,Consider as Option
Edible Seaweed Film,14.8,3.1,100,0.37,7,2,Consider as Option
Virgin Plastic (PP),69,3.6,2.3,4.18,18.6,10,Avoid
Edible Seaweed Film,6.2,6.9,100,0.5,2.2,4,Consider as Option
Mushroom Mycelium,10.4,2,100,0.38,100,6,Highly Recommended
Recycled Cardboard,31.2,6.3,93.1,1.04,98.2,4,Highly Recommended
Mushroom Mycelium,20.6,1.1,100,0.22,100,6,Highly Recommended
Edible Seaweed Film,13.9,5.8,100,0.25,7,2,Consider as Option
Bagasse (Sugarcane),22.1,3.4,97.6,1.4,60.2,5,Highly Recommended
Bioplastic (PLA),72.2,0.5,88.8,2.01,40.5,9,Highly Recommended
Aluminum Foil,29.3,6.6,0,8.3,97.1,10,Avoid
Bagasse (Sugarcane),36.9,7,96.6,1.08,56.6,7,Highly Recommended
Bamboo Fiber,47.2,1.6,95.6,0.61,39.1,8,Highly Recommended
Virgin Plastic (PP),74.3,2.3,4.3,4.16,16.3,10,Avoid
Virgin Plastic (PP),65.1,6.4,1.6,3.62,23.8,10,Avoid
Virgin Plastic (PP),79.9,7.2,0.6,4.19,18,10,Avoid
