Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,Cost_per_unit
Bioplastic (PLA),60.4,6.1,90.1,2.38,54.5,9,20.517
Bioplastic (PLA),51.8,4,94.7,1.85,48.6,9,17.2128
Recycled Cardboard,18.5,8.3,91,1,94.1,5,8.2518
Bagasse (Sugarcane),34.9,4,97.4,1.35,55.5,6,12.029
Bamboo Fiber,52.1,9,95.5,1.01,33.6,7,18.6648
Aluminum Foil,27.8,1.4,0,11.9,97.4,10,11.1452
Edible Seaweed Film,13.3,4,100,0.45,3.8,3,5.4724
Recycled Cardboard,28.9,5.9,90.9,1.05,88.6,3,10.6728
Virgin Plastic (PP),78.3,8.9,0.2,3.61,11.1,10,27.0598
Bamboo Fiber,43.1,2,98.4,0.93,33.5,7,13.849
Bagasse (Sugarcane),29.3,7.4,98.4,0.93,59.5,5,11.277
Edible Seaweed Film,9.3,6.5,100,0.42,2,2,5.02
Virgin Plastic (PP),66.7,8.8,3.8,4.84,25,10,23.768
Virgin Plastic (PP),87.7,2.5,1.7,5.74,29.1,10,28.3498
Edible Seaweed Film,8.7,1.4,100,0.4,4.4,3,3.3012
Bamboo Fiber,46.2,0.7,96.7,0.72,36,8,14.342
Bagasse (Sugarcane),36.5,1.3,98.6,1.24,61.4,7,11.6652
Aluminum Foil,41.8,6.7,0,10.05,97.5,10,16.565
Recycled Cardboard,15.6,5.1,91.8,0.82,82.2,3,6.4096
Bagasse (Sugarcane),39.1,6.9,97.4,0.91,61,5,14.06
Virgin Plastic (PP),81.8,8.8,1.1,5.12,19.5,10,28.365
Edible Seaweed Film,8.5,1,100,0.42,8.5,3,3.117
Virgin Plastic (PP),71.3,5,2.8,3.99,20.4,10,23.8472
Bagasse (Sugarcane),33.7,2.7,98.7,1.08,64.1,6,11.2078
Bagasse (Sugarcane),34.8,9.8,96.1,1.06,59.7,7,13.6726
Bagasse (Sugarcane),35.5,4.1,98.8,1.11,55.6,7,12.1908
Bioplastic (PLA),65.1,6.1,82.3,2.32,44.8,8,21.9344
Bamboo Fiber,46.3,3.5,95.3,0.86,34,6,15.244
Bamboo Fiber,58.8,8.7,99.5,1.13,30.1,6,20.6158
Virgin Plastic (PP),79.3,3.3,2.7,5.88,22.4,10,26.1112
Bagasse (Sugarcane),38.8,7.6,96.1,1.29,65.1,5,14.2478
Mushroom Mycelium,13.7,7.1,100,0.19,100,5,6.278
Edible Seaweed Film,6.7,8,100,0.59,3.6,2,4.7208
Bagasse (Sugarcane),29,8.2,96.3,1.12,57.3,7,11.4694
Edible Seaweed Film,7,2.6,100,0.37,4.2,3,3.1456
Bagasse (Sugarcane),35.2,2.8,98.2,0.99,54.8,6,11.6884
Recycled Cardboard,27.9,3.1,91.8,1.05,84,3,9.542
Aluminum Foil,40.7,5.5,0,11.26,91.8,10,16.1284
Mushroom Mycelium,19.4,8.7,100,0.28,100,4,8.486
Virgin Plastic (PP),89.6,9.8,1.4,4.41,17.6,10,30.8668
Edible Seaweed Film,8.8,4.4,100,0.36,0.7,3,4.2306
Bioplastic (PLA),52,6.8,88.4,1.58,59.6,8,18.0368
Aluminum Foil,40.4,9.1,0,10.81,96.5,10,17.019
Mushroom Mycelium,16,3,100,0.25,100,4,5.75
Recycled Cardboard,18.5,8,92.6,1.13,91.7,3,8.1926
Bagasse (Sugarcane),33.1,2.9,96.1,1.05,55.5,7,11.099
Aluminum Foil,35,2.4,0,10.83,91.8,10,13.4024
Bioplastic (PLA),73.4,6.9,92.9,1.96,48.1,8,24.5858
Mushroom Mycelium,13.2,4.8,100,0.21,100,5,5.442
Aluminum Foil,38.1,8.6,0,11.91,95.8,10,16.4004
Edible Seaweed Film,9.5,9.2,100,0.43,2.7,4,5.8906
Bioplastic (PLA),50.6,1.4,90.8,2.09,59.1,8,16.0998
Aluminum Foil,39.3,0.6,0,9.26,94.2,10,13.8336
Recycled Cardboard,30.5,9.4,99.3,1.3,86,4,12.258
Bioplastic (PLA),57.7,7.8,81,1.61,53.8,8,20.0644
Aluminum Foil,28.4,2.2,0,9.89,91.8,10,11.1744
Bamboo Fiber,55.9,2.4,99.4,1.17,36.1,7,17.8518
Recycled Cardboard,23.9,9.1,92.2,1.05,89.1,5,10.1318
Mushroom Mycelium,16.5,6.5,100,0.17,100,6,6.934
Bioplastic (PLA),67.1,8.7,82.5,2.49,56.2,8,23.3256
Aluminum Foil,35.3,7.9,0,10.5,90.7,10,15.0786
Bagasse (Sugarcane),38.4,4.9,98.3,1.18,69.2,5,13.2876
Aluminum Foil,23,3.2,0,9.28,92,10,9.732
Bamboo Fiber,40.4,7.7,95.6,0.52,40.3,8,14.6534
Bamboo Fiber,49.3,4.9,95.9,0.96,47.8,6,16.5564
Edible Seaweed Film,10,7.7,100,0.25,7.9,3,5.5442
Bioplastic (PLA),70.7,9.5,91.7,1.61,51.5,8,24.479
Aluminum Foil,41.7,0.8,0,11.04,99.7,10,14.9586
Recycled Cardboard,25.8,3.8,99.5,0.98,87,4,9.102
Bamboo Fiber,56.1,9.9,98.7,0.83,35.2,7,20.0956
Aluminum Foil,41.8,5.8,0,9.73,99,10,16.228
Aluminum Foil,33.5,3.5,0,10.51,91.4,10,13.2192
Edible Seaweed Film,12.7,9.2,100,0.59,0.8,2,6.8864
Mushroom Mycelium,21.7,2.5,100,0.37,100,6,7.334
Bioplastic (PLA),69.6,1.6,92,2.31,50.2,9,21.9216
Bioplastic (PLA),66.3,6,85.8,1.53,58.4,8,22.0792
Aluminum Foil,23,7.8,0,11.02,92.9,10,11.4582
Recycled Cardboard,25,7.7,92.3,1.25,96.2,3,10.0676
Mushroom Mycelium,22.5,2.3,100,0.22,100,6,7.484
Bioplastic (PLA),56.7,8.3,89.2,2.14,55.8,8,20.0164
Edible Seaweed Film,8.6,5.5,100,0.36,9.1,3,4.4838
Aluminum Foil,31.2,4.1,0,11.08,99.1,10,12.8078
Bioplastic (PLA),71.7,7,85.6,1.6,41.9,8,24.0462
Virgin Plastic (PP),61.3,9.4,2.7,4.68,16,10,22.314
Edible Seaweed Film,15,9.7,100,0.35,3.7,2,7.6726
Bamboo Fiber,42.9,8.3,99.9,0.52,36.7,7,15.5906
Recycled Cardboard,31.2,4.6,97.9,1.3,83.1,5,11.0338
Recycled Cardboard,25.9,5.6,98.7,1.5,90.1,4,9.7698
Bioplastic (PLA),55.1,8.8,88.9,2.3,40.2,8,19.7496
Recycled Cardboard,15.1,2.5,92.3,1.42,84.4,5,5.5952
Bagasse (Sugarcane),38.7,7.7,97.7,0.97,63.9,7,14.1862
Bagasse (Sugarcane),20.9,7.7,96.3,1.37,60.1,5,8.9338
Mushroom Mycelium,20.1,9.9,100,0.2,100,6,9.04
Recycled Cardboard,15.8,5.7,93.1,0.87,85.3,3,6.6534
Edible Seaweed Film,5.4,8.4,100,0.42,8,2,4.408
Aluminum Foil,25.3,2.4,0,8.02,100,10,9.914
Mushroom Mycelium,14.3,2.2,100,0.14,100,4,4.978
Bioplastic (PLA),73.4,7.4,86,2.22,44.3,8,24.7954
Bioplastic (PLA),58.7,3.7,87.1,2.32,58.8,8,19.2664
Edible Seaweed Film,6.3,7.9,100,0.43,7.5,3,4.531
Bamboo Fiber,54,9.2,98.2,1.13,37.7,8,19.3106
Bagasse (Sugarcane),26.6,3.3,98.9,1.1,50.3,5,9.2894
Bamboo Fiber,49.5,1.2,98.3,1.02,33.9,7,15.5462
Mushroom Mycelium,22.6,9.3,100,0.27,100,4,9.624
Mushroom Mycelium,16.1,3.8,100,0.19,100,5,6.008
Bagasse (Sugarcane),25.1,1.1,98.2,1.25,61.4,5,8.1872
Edible Seaweed Film,9.1,7.5,100,0.49,4.9,4,5.2682
Bioplastic (PLA),65.2,8.4,80.1,2.1,51,8,22.598
Recycled Cardboard,32.8,9.1,90.5,1.44,86.3,4,12.8854
Edible Seaweed Film,9.6,2.7,100,0.35,8.4,3,3.9432
Mushroom Mycelium,11.7,7.6,100,0.18,100,6,5.826
Bamboo Fiber,47.2,7.8,95.3,0.89,38.9,6,16.8002
Virgin Plastic (PP),78.3,7.2,4.9,4.85,24,10,26.772
Aluminum Foil,34.3,5,0,8.42,97.2,10,13.4796
Bagasse (Sugarcane),29.5,6.7,95.2,1.17,57.6,5,11.1788
Mushroom Mycelium,14.4,5.1,100,0.35,100,5,5.92
Bioplastic (PLA),63.7,4.7,90.1,1.77,42.4,9,20.9892
Virgin Plastic (PP),67,5.2,1.2,4.02,15.8,10,22.6324
Mushroom Mycelium,17.4,1.4,100,0.21,100,5,5.682
Edible Seaweed Film,7,8.2,100,0.29,2.2,4,4.8136
Virgin Plastic (PP),77.5,0.9,4.8,5.36,28.1,10,24.7358
Aluminum Foil,28.2,8.9,0,11.05,95.1,10,13.3498
Bagasse (Sugarcane),25.4,6,97.1,1.33,64.7,6,9.7566
Virgin Plastic (PP),74,4.6,1.8,3.61,24.8,10,24.4524
Bagasse (Sugarcane),34.9,2.2,99.2,1.28,63.4,7,11.4592
Aluminum Foil,37.2,4.7,0,11.65,96.2,10,14.9076
Bagasse (Sugarcane),33.1,0.6,97.8,1.3,57.3,5,10.4554
Mushroom Mycelium,16.4,7.4,100,0.33,100,5,7.206
Virgin Plastic (PP),89.2,5.3,1,3.99,13.9,10,29.3202
Bamboo Fiber,57.4,4.2,95.1,0.68,31.2,6,18.7536
Virgin Plastic (PP),72.9,1.4,4,5.17,23.4,10,23.4772
Bioplastic (PLA),65.4,7,87.2,1.67,41.6,9,22.1708
Aluminum Foil,29.3,9.3,0,8.07,94.1,10,13.2058
Aluminum Foil,45,2.3,0,10.25,98.7,10,16.2426
Bagasse (Sugarcane),24,0.6,96.5,1.36,50.8,6,7.7504
Bamboo Fiber,50.7,2.8,99.1,1.15,35.5,8,16.409
Mushroom Mycelium,17.8,8.8,100,0.4,100,5,8.06
Bamboo Fiber,43,5.6,96,0.6,44.1,7,14.8118
Edible Seaweed Film,5.3,3.3,100,0.55,8.6,2,2.8728
Edible Seaweed Film,5.1,1.2,100,0.49,2,3,2.184
Aluminum Foil,37.3,2.3,0,8.53,93.4,10,13.5992
Mushroom Mycelium,20.9,9.9,100,0.34,100,5,9.308
Bagasse (Sugarcane),34.2,1.5,95.9,0.93,65.7,7,10.9646
Bamboo Fiber,44.3,3,97.5,0.79,40.4,7,14.4672
Edible Seaweed Film,6.9,9.6,100,0.44,3.5,2,5.231
Recycled Cardboard,22.1,5.6,90.9,1.26,97.9,4,8.5662
Mushroom Mycelium,11.9,5.7,100,0.32,100,5,5.344
Recycled Cardboard,20,4.9,96.6,1.09,99.6,4,7.6888
Bagasse (Sugarcane),35.1,5.7,99.9,1.13,50.2,6,12.5656
Bagasse (Sugarcane),34.8,6.9,96.1,1.26,50.9,6,12.8602
Bioplastic (PLA),72.1,1.2,94.7,2.36,56.1,8,22.5498
Bagasse (Sugarcane),28.8,3.9,97.5,1.36,61.5,6,10.159
Aluminum Foil,30.3,4.9,0,11.9,96.4,10,12.9472
Virgin Plastic (PP),80.9,1.9,4.2,3.95,22.9,10,25.7842
Aluminum Foil,23.3,7.4,0,9.78,90.7,10,11.1846
Virgin Plastic (PP),64.9,5,2.2,5.41,19.9,10,22.2122
Bamboo Fiber,59.5,7.7,97.6,1.08,41.4,8,20.4932
Recycled Cardboard,32.3,6.1,98.7,1.06,95.1,4,11.7418
Bamboo Fiber,51,8.9,98.4,0.59,47,7,18.194
Aluminum Foil,43.3,0.9,0,11.61,96.9,10,15.5882
Aluminum Foil,43.2,9.1,0,8.78,97,10,17.452
Virgin Plastic (PP),73.7,2.6,3.3,4.43,29.4,10,23.9172
Recycled Cardboard,34.7,8.5,99.2,0.97,90.6,3,13.1728
Aluminum Foil,36.9,7.2,0,11.28,98.2,10,15.4896
Bamboo Fiber,54.9,8.8,98.1,0.63,33.2,6,19.3696
Bamboo Fiber,55.7,2.1,95.8,0.63,39.8,6,17.5864
Edible Seaweed Film,6,9,100,0.39,8.7,3,4.7606
Aluminum Foil,21.1,8.3,0,10.86,98,10,10.996
Virgin Plastic (PP),82.7,4.3,1.5,4.16,14.5,10,27.103
Recycled Cardboard,18.2,4.4,98.3,1.48,92.3,3,7.0914
Mushroom Mycelium,10.6,6.9,100,0.19,100,6,5.288
Recycled Cardboard,16,5.8,98.6,1.07,80.1,5,6.7938
Aluminum Foil,22.6,7,0,9.34,99.9,10,10.7482
Recycled Cardboard,23.6,6.1,95.4,1.01,89.2,3,9.1336
Recycled Cardboard,24.2,7.3,98.6,1.06,99.2,5,9.6636
Aluminum Foil,40.3,0.7,0,10.56,94.3,10,14.4234
Mushroom Mycelium,21.4,2.6,100,0.12,100,6,7.224
Recycled Cardboard,29.2,1.4,96.1,1.03,80.4,3,9.4252
Recycled Cardboard,17,7.9,98.1,1.44,83.3,4,7.7914
Bamboo Fiber,45.6,6.7,99.7,0.91,45.9,7,15.9802
Mushroom Mycelium,15.1,3.4,100,0.26,100,6,5.602
Mushroom Mycelium,21.6,5.5,100,0.19,100,4,8.168
Mushroom Mycelium,12.7,6.3,100,0.13,100,4,5.726
Mushroom Mycelium,22.7,8.6,100,0.3,100,4,9.45
Aluminum Foil,25.5,3.8,0,10.24,98,10,10.842
Bagasse (Sugarcane),28.8,6.6,96.3,1.29,54,5,10.97
Bamboo Fiber,44.5,9.9,97.8,0.67,46.4,8,16.5612
Aluminum Foil,29.5,6.2,0,10.04,93.7,10,12.7306
Bamboo Fiber,54.2,4.4,98,0.83,38.9,7,17.8682
Virgin Plastic (PP),61.6,5.3,1.8,3.79,14.4,10,20.9992
Virgin Plastic (PP),66.7,8.6,3.6,3.87,22,10,23.52
Aluminum Foil,31.3,2.2,0,8.09,97.2,10,11.6736
Virgin Plastic (PP),67.5,9.8,5,5.27,15.6,10,24.4128
Recycled Cardboard,15.9,4.8,100,1.19,95.4,5,6.4572
Edible Seaweed Film,7.1,9.2,100,0.48,5.9,2,5.1742
Bioplastic (PLA),69.8,4.3,93.2,1.77,49.3,9,22.6854
Recycled Cardboard,34.3,6.2,90.3,1.36,96.1,4,12.4298
Bioplastic (PLA),71.7,6.2,88.2,2.4,49.3,8,23.9514
Bagasse (Sugarcane),34.3,4.2,96,1.01,68.9,5,11.8142
Recycled Cardboard,21.9,9.8,92.7,1.18,95.9,3,9.7542
Bioplastic (PLA),62.4,8.4,82.3,2.3,57.9,9,21.7842
Recycled Cardboard,33.3,2.3,98,1.01,95.3,5,10.8914
Recycled Cardboard,18.3,6.1,97.2,1.25,83.3,4,7.6034
Virgin Plastic (PP),66.2,5.9,2.7,4.34,27.4,10,22.6432
Mushroom Mycelium,19.2,4.9,100,0.39,100,4,7.308
Mushroom Mycelium,21.2,1.1,100,0.32,100,4,6.754
Aluminum Foil,25.3,2.6,0,11.57,98,10,10.688
Edible Seaweed Film,10.4,2.5,100,0.59,9.8,2,4.1684
Edible Seaweed Film,13.9,4.8,100,0.44,2.9,4,5.8922
Aluminum Foil,28.5,5.4,0,11.77,99.5,10,12.525
Edible Seaweed Film,9.3,5.1,100,0.31,4.3,4,4.5734
Edible Seaweed Film,7.9,7.3,100,0.35,2.6,4,4.8248
Mushroom Mycelium,18.7,9.3,100,0.26,100,6,8.452
Mushroom Mycelium,13.1,2.5,100,0.12,100,6,4.704
Bioplastic (PLA),72.4,10,88.3,2.08,50.4,8,25.2352
Edible Seaweed Film,6.2,1,100,0.22,0.5,3,2.403
Edible Seaweed Film,9.4,6.3,100,0.57,6.5,4,5.011
Aluminum Foil,23.5,7.6,0,8.77,91.4,10,11.1012
Edible Seaweed Film,13.3,9.7,100,0.39,8.2,4,7.1616
Bioplastic (PLA),62.8,3.6,93.5,2.23,43.3,8,20.4794
Aluminum Foil,32.4,9.6,0,10.47,98,10,14.698
Edible Seaweed Film,6.8,4,100,0.3,4.5,4,3.491
Aluminum Foil,37.4,8.2,0,9.95,93.7,10,15.6826
Bamboo Fiber,59.6,9.7,98.5,0.94,46.9,8,21.0842
Aluminum Foil,32.9,7.1,0,11.02,98.9,10,14.2062
Aluminum Foil,29.5,4,0,10.27,99.8,10,12.1044
Bamboo Fiber,59,4.5,98.5,0.99,39.8,7,19.3684
Mushroom Mycelium,22.3,3.4,100,0.27,100,4,7.764
Virgin Plastic (PP),87.3,3.5,3.7,3.65,13.2,10,28.1436
Virgin Plastic (PP),62.7,4.5,3,4,13.6,10,21.1328
Virgin Plastic (PP),80,7.9,3.9,5.51,24.8,10,27.6224
Bamboo Fiber,56.5,4.8,95.5,0.8,37,8,18.676
Bagasse (Sugarcane),21.7,5.8,99.3,1.36,63.9,5,8.5942
Bagasse (Sugarcane),28.5,0.6,97.9,1.09,59.6,5,9.0288
Edible Seaweed Film,14.5,3,100,0.58,6.6,3,5.5528
Bamboo Fiber,41.5,0.6,98.3,0.85,37.5,7,12.925
Edible Seaweed Film,9.1,3.6,100,0.32,6.5,3,4.061
Mushroom Mycelium,24.6,4.6,100,0.3,100,6,8.82
Edible Seaweed Film,13.6,0.9,100,0.33,2.8,2,4.6104
Recycled Cardboard,19.2,4.9,99.1,1.25,89.3,3,7.5014
Mushroom Mycelium,10.8,4,100,0.3,100,5,4.5
Bioplastic (PLA),67.8,8.3,82.1,2.06,54,9,23.334
Bamboo Fiber,56.2,5.4,95.1,0.63,43.3,6,18.7194
Mushroom Mycelium,16.5,9.9,100,0.27,100,4,7.974
Recycled Cardboard,32.1,5.3,94.5,1.2,88.9,3,11.4822
Bioplastic (PLA),54.7,9.8,81.8,2.33,50.4,9,19.9152
Mushroom Mycelium,10.5,8.3,100,0.37,100,6,5.714
Bagasse (Sugarcane),32,1.5,96.6,1.3,60.9,5,10.3882
Bagasse (Sugarcane),31.5,7.9,99.9,0.93,68,6,12.07
Aluminum Foil,35.2,3,0,9.71,96.3,10,13.4094
Bioplastic (PLA),57,7.6,86.7,1.61,57.2,8,19.7876
Bamboo Fiber,50.3,9.4,97.9,0.84,42,8,18.194
Bioplastic (PLA),58.6,1.3,80.9,1.71,54.7,9,18.4026
Bamboo Fiber,59.1,8,97.8,0.88,41.4,6,20.4232
Mushroom Mycelium,15.7,1.3,100,0.38,100,6,5.176
Virgin Plastic (PP),75.8,0.8,0.4,5.5,25.4,10,24.2292
Edible Seaweed Film,8.1,1.5,100,0.58,1.4,2,3.1932
Mushroom Mycelium,10.8,4,100,0.17,100,4,4.474
Virgin Plastic (PP),62.2,2.6,4.7,4.72,27.3,10,20.5294
Mushroom Mycelium,19.4,8.3,100,0.4,100,6,8.39
Bioplastic (PLA),55.4,7.9,81.8,2.25,42.8,9,19.5544
Virgin Plastic (PP),64,8.2,1.4,5.4,21.3,10,22.8974
Recycled Cardboard,30.6,2.2,97.2,1.36,90.8,3,10.1304
Recycled Cardboard,33.1,1,91.5,0.99,98.9,3,10.4302
Edible Seaweed Film,11.9,3.6,100,0.35,8.5,2,4.903
Bamboo Fiber,60,1,96.4,0.81,33.9,8,18.5942
Aluminum Foil,33.1,0.5,0,9.34,99.2,10,11.9496
Virgin Plastic (PP),69.4,8.9,1.3,5.92,14.8,10,24.8444
Bagasse (Sugarcane),37.7,1.4,97.8,0.94,55.2,5,12.0076
Bagasse (Sugarcane),27.1,7.3,97.3,1.29,55.9,7,10.6662
Bagasse (Sugarcane),36,3.2,98.6,0.97,55,7,12.044
Edible Seaweed Film,5.7,5.1,100,0.37,7.8,2,3.4984
Bioplastic (PLA),73.9,3.8,90.6,1.77,59.2,8,23.7456
Aluminum Foil,30.8,8.6,0,9.77,93.5,10,13.787
Aluminum Foil,30.7,6,0,10.59,90.9,10,13.1462
Virgin Plastic (PP),83.4,5.8,2,4.46,29.5,10,27.793
Mushroom Mycelium,19.4,5.8,100,0.34,100,6,7.628
Aluminum Foil,42.1,0.6,0,9.24,90.2,10,14.6776
Edible Seaweed Film,6,5.1,100,0.32,9.7,3,3.5746
Bioplastic (PLA),56.8,1.4,84.6,1.88,51.2,8,17.9336
Recycled Cardboard,25.6,4.6,95.6,1.36,80,5,9.372
Aluminum Foil,23.5,9.7,0,11.76,95.2,10,12.3216
Edible Seaweed Film,8,4.1,100,0.24,9.5,3,3.859
Bagasse (Sugarcane),38.1,8.4,97.7,1.25,57.1,7,14.2858
Aluminum Foil,34.1,2.5,0,10.39,96.4,10,13.0652
Mushroom Mycelium,11.4,3.4,100,0.26,100,6,4.492
Aluminum Foil,42.2,8.8,0,9.15,94.6,10,17.1408
Bioplastic (PLA),70.2,5.4,89.4,1.73,56.2,9,23.1136
Aluminum Foil,34,5.4,0,10.05,92.9,10,13.8442
Edible Seaweed Film,11.1,5.4,100,0.38,1.3,3,5.2234
Bamboo Fiber,43.5,1.1,96.4,1.14,33.2,7,13.7416
Virgin Plastic (PP),85,5.6,3.7,5.08,18.1,10,28.3598
Bagasse (Sugarcane),29.3,0.6,98.8,0.97,68,6,9.228
Edible Seaweed Film,7.5,3.8,100,0.45,7.5,2,3.665
Recycled Cardboard,30,8.6,96.3,1.44,82.6,4,11.9028
Bioplastic (PLA),74.3,4.1,81.6,1.96,54.2,9,24.0036
Edible Seaweed Film,14.7,1,100,0.56,0.4,3,5.0212
Bamboo Fiber,59,1.4,95.3,0.77,33.8,6,18.4064
Edible Seaweed Film,12.8,9.3,100,0.39,2.4,3,6.9032
Bamboo Fiber,54.2,9.6,98.1,0.68,40.1,8,19.3958
Bioplastic (PLA),61.2,9.1,86,2.39,40.2,9,21.6876
Edible Seaweed Film,13.5,8.9,100,0.44,8.1,2,6.9918
Mushroom Mycelium,13.9,7.8,100,0.36,100,5,6.582
Bamboo Fiber,50.5,0.5,99,1.08,38.7,6,15.6386
Recycled Cardboard,19.7,2.6,93.8,1.31,88.9,4,6.9742
Mushroom Mycelium,12.7,7.3,100,0.14,100,6,6.028
Aluminum Foil,24.3,2.3,0,10.39,90.7,10,10.0766
Bagasse (Sugarcane),36.9,6.1,95.5,1.1,57.6,5,13.2048
Bagasse (Sugarcane),24,6.8,95.6,1.24,53.9,5,9.5802
Aluminum Foil,37.4,0.5,0,10.05,96.5,10,13.387
Bamboo Fiber,52,4.2,98.8,0.57,49.4,7,17.0752
Virgin Plastic (PP),73.6,8.1,0.3,5.89,10.7,10,25.8666
Bioplastic (PLA),57.9,4.5,86.8,2.45,46.5,8,19.317
Bamboo Fiber,42.5,9.4,98.2,1.06,34.6,6,15.9128
Recycled Cardboard,29.4,2.7,95.6,1.41,94.2,5,9.9236
Edible Seaweed Film,10.7,7.2,100,0.22,9.1,2,5.5958
Mushroom Mycelium,24,7.2,100,0.16,100,6,9.392
Aluminum Foil,36.7,5.4,0,9.57,93.5,10,14.557
Mushroom Mycelium,23.8,6.6,100,0.14,100,6,9.148
Bioplastic (PLA),56.1,8.6,82.6,1.74,48.2,9,19.8616
Bioplastic (PLA),65.5,1.2,83.1,2.24,41.6,8,20.5748
Recycled Cardboard,29.5,4.4,92,1.43,83.3,5,10.4894
Bioplastic (PLA),51.5,6.6,87.6,1.62,55.6,8,17.8428
Mushroom Mycelium,15.3,1.8,100,0.38,100,4,5.206
Aluminum Foil,28.5,9.7,0,9.15,92.4,10,13.3052
Virgin Plastic (PP),74.8,2.9,1.3,5.91,17.2,10,24.6576
Bamboo Fiber,42,1.3,95.1,0.6,48.7,6,13.2126
Bagasse (Sugarcane),21.7,8.5,97.3,1.2,57.6,5,9.3848
Aluminum Foil,30,2.1,0,10.78,94.1,10,11.7978
Bagasse (Sugarcane),38.2,3.3,95.2,1.03,57.9,6,12.7402
Mushroom Mycelium,23.5,8.7,100,0.17,100,5,9.694
Virgin Plastic (PP),63.2,5.6,2.1,3.94,19,10,21.59
Aluminum Foil,37,3.4,0,9.68,91.7,10,14.0726
Bagasse (Sugarcane),30.9,5.3,97.2,1.15,52.9,7,11.1842
Aluminum Foil,41.5,2.6,0,9.05,94,10,15.052
Virgin Plastic (PP),73.3,3.3,4.4,5.24,20.5,10,24.187
Bagasse (Sugarcane),24.6,6.3,99.2,1.3,67.5,6,9.595
Mushroom Mycelium,10.5,7.9,100,0.31,100,6,5.582
Aluminum Foil,29.5,3.1,0,11.09,93.9,10,12.0102
Recycled Cardboard,33.6,1.6,96.8,1.04,89.8,5,10.7884
Bioplastic (PLA),60.1,8.7,80.7,2.38,43.2,9,21.2296
Edible Seaweed Film,13.1,6.6,100,0.38,6.9,2,6.1722
Virgin Plastic (PP),68.8,7.4,0.9,5.01,24.5,10,24.013
Bamboo Fiber,56.4,6.1,99.4,1.19,31.6,7,19.1248
Bamboo Fiber,58.9,6.1,99,1.03,38.3,7,19.8294
Recycled Cardboard,16.3,1.2,98.9,1.37,94.9,4,5.5342
Edible Seaweed Film,14.1,1.6,100,0.51,6.3,4,4.9994
Recycled Cardboard,19.4,5.5,97.9,1.05,94.6,4,7.6908
Bagasse (Sugarcane),34.8,3.5,96.9,1.12,65.7,7,11.7826
Aluminum Foil,34.2,6.7,0,11.57,90.7,10,14.6026
Mushroom Mycelium,20.9,3.5,100,0.32,100,6,7.384
Mushroom Mycelium,11.3,5.4,100,0.27,100,5,5.064
Bamboo Fiber,56.6,8.2,97.1,0.51,32.3,7,19.6774
Mushroom Mycelium,11.1,2.3,100,0.18,100,4,4.056
Bagasse (Sugarcane),30.1,7.1,95.6,1.2,54,7,11.492
Recycled Cardboard,16.1,2.6,98.4,1.45,83.3,4,5.9334
Bamboo Fiber,42.9,7.2,95.7,1.06,36.5,8,15.369
Virgin Plastic (PP),71.8,3,0.9,4.7,23.8,10,23.5324
Aluminum Foil,37.6,5,0,8.77,90.4,10,14.5532
Bamboo Fiber,55.7,1.3,98.1,1.14,42.5,6,17.443
Bioplastic (PLA),57.7,6.8,84.1,1.83,54.5,8,19.807
Bagasse (Sugarcane),27.1,8.9,98.4,1.24,64,7,11.12
Recycled Cardboard,33.5,6.8,98.6,0.96,98.6,5,12.2848
Mushroom Mycelium,19.7,4.1,100,0.19,100,5,7.178
Bamboo Fiber,45.2,5.2,99.8,1,45.8,7,15.4284
Recycled Cardboard,16.3,0.8,94.7,1.16,98.5,5,5.365
Edible Seaweed Film,13.2,5,100,0.22,4.5,3,5.695
Bagasse (Sugarcane),29.6,4.2,98,1.08,50.4,7,10.4552
Bamboo Fiber,43.7,4.2,95.9,0.55,33.7,6,14.6126
Edible Seaweed Film,7.3,7,100,0.27,7.3,4,4.5294
Bioplastic (PLA),59.4,8.4,91.3,2.01,53.7,9,20.8346
Bagasse (Sugarcane),39.3,5.7,97.4,1.26,56.1,6,13.8398
Bioplastic (PLA),70.2,8.3,86.2,1.67,44.7,8,23.9946
Bamboo Fiber,57.2,1.8,96.5,0.66,31.3,7,17.9694
Recycled Cardboard,25.7,4.4,94.9,0.85,84.2,4,9.2316
Mushroom Mycelium,14.4,5.2,100,0.24,100,5,5.928
Aluminum Foil,26.5,6.6,0,9.75,96.2,10,11.8876
Aluminum Foil,32.4,9.1,0,10.19,99.9,10,14.4882
Aluminum Foil,30.3,4.7,0,11.66,95.2,10,12.8416
Mushroom Mycelium,11,7.4,100,0.39,100,5,5.598
Bamboo Fiber,54.7,2.1,97.6,0.68,40.1,8,17.2958
Mushroom Mycelium,12.1,6.2,100,0.35,100,4,5.56
Aluminum Foil,39.4,8.7,0,10.66,93.6,10,16.5748
Bioplastic (PLA),62.7,8.8,82.2,2.48,52.3,8,22.0414
Virgin Plastic (PP),66.4,8.5,2.8,3.89,28.6,10,23.3908
Bagasse (Sugarcane),25.3,6.7,98.7,1.15,54.1,6,9.9218
Edible Seaweed Film,11.9,0.7,100,0.53,9.8,4,4.0664
Bamboo Fiber,42,4.6,97.3,0.75,30.5,7,14.269
Virgin Plastic (PP),70.1,6.5,4.7,5.27,23.5,10,24.187
Bagasse (Sugarcane),31.4,7.3,96.9,1.01,62.1,7,11.8878
